Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$54,004.50 ","201,520,162,017,201,000,000,000",8/1/2022,339,13121001202
"InVesta Services, LLC Servicer for Christina Trst Custodian for GSRAN-Z; InVesta Services LLC Christina Trust as Custodian; InVesta Services of GA Christina Trust as Custodian;","$4,124.64 ","2,010,201,320,142,010",5/1/2016,101,13121005700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,663.58 ","201,820,192,020",11/1/2021,101,13121005700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$43,652.24 ","201,520,162,017,201,000,000,000",8/1/2022,339,13121001202
"Investa Services as Custodian for Christiana Trust;InVesta Services as nominee for GSRAN, LLC;InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LC;InVesta Services of GA as nomi","$55,904.57 ","201,020,112,012",2/1/2015,105,13121001202
Investa Services of GA Christiana Trust as Custodian,"$1,415.52 ",2013,5/1/2015,101,13121005700
Investa Services as Custodian for Christiana Trust,"$14,465.64 ","20,082,009,201,020,100,000",2/1/2015,200,13121001100
Tassa Enterprises LLC,"$21,732.57 ",2011,11/1/2017,2C1,13121001100
"InVesta Services as nominee for GSRAN, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC;Plymouth Park Tax Services LLC c/o Vesta Holdings;Plymouth Park Tax Services, LLC;Vesta Holdings VII, LLC as Nominee for Fulton Tax Capital II, LLC","$118,220.19 ","2,008,200,920,102,010",2/1/2015,2C1,13121001100
Investa Services of GA Christina Trust as Custodian,"$1,673.65 ",2012,9/1/2015,106,13121000500
Investa Services of GA Christina Trust as Custodian,"$1,632.22 ",2013,9/1/2015,106,13121009404
Investa Services of GA Christina Trust as Custodian,"$5,843.70 ",2013,9/1/2015,101,13121000200
INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN,"$1,702.34 ",2013,8/1/2016,101,13121005700
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$18,485.43 ","20,142,015",3/1/2017,101,13121000200
"FIG Capital Investments, LLC","$12,570.17 ",2016,7/1/2018,101,13121000200
"INVESTA SERVICES, LLC SERICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,488.92 ",2015,9/1/2017,106,13121000200
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$3,477.51 ",2012,6/1/2015,106,13121000200
"Investa Services, LLC Christina Trust as Custodian; Investa Services of GA Christina Trust as Custodian","$9,590.17 ","20,102,011,201,220,100,000",9/1/2015,101,13121005700
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,497.79 ","201,320,182,019",11/1/2020,101,13121000100
"Investa Services of GA Christiana Trust as Custodian ; InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC ; InVesta Services of GA as nominee for GSRAN, LLC","$20,070.04 ","201,120,122,013",7/1/2015,101,13121000100
Investa Services of GA Christina Trust as Custodian,"$6,406.87 ",2013,9/1/2015,2C1,13121000100
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$107,323.99 ","201,520,172,018,201,000,000,000",8/1/2022,101,13121000100
"United Tax & Realty, LLC","$6,576.85 ","201,520,162,017,201,000,000,000",4/1/2022,100,13121005700
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$5,844.07 ","20,102,011",10/1/2016,100,13121001500
TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$5,536.51 ","20,102,011",6/1/2016,100,13121001500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$7,527.88 ","20,112,013",9/1/2015,374,13121001500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,315.74 ","20,142,016",11/1/2019,106,13121001500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$29,673.87 ","20,142,015",3/1/2017,355,13121001500
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$5,219.88 ",2014,9/1/2017,355,13121001500
"LENDER TITLE & ESCROW, LLC SUBSEQUENTLY TRANSFERRED TO RIAH CAPITAL MANAGEMENT LLC, AS CUTODIAN FOR JUNO TAX RECEIVABLES LLC",$436.02 ,2011,10/1/2018,355,13121001500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,183.33 ","20,142,015",3/1/2017,355,13121001500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$14,866.51 ","20,142,015",3/1/2017,106,13121001500
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$11,941.07 ",2011,9/1/2016,101,13121001500
"United Tax & Realty, LLC","$4,003.81 ","201,520,162,017,201,000,000,000",4/1/2022,100,13121005700
"InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$3,019.03 ",2012,2/1/2015,106,13121009200
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$1,351.06 ",2014,8/1/2017,106,13121009200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$3,797.86 ","201,420,152,016",3/1/2018,106,13121009200
"FIG CAPITAL INVESTMENTS, LLC","$6,056.74 ",2016,12/1/2018,101,13121009404
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$29,079.47 ","201,320,142,015",6/1/2016,101,13121009404
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$19,660.63 ","201,520,162,018",11/1/2019,106,13121009404
,"$4,288.26 ","20,122,013,201,420,100,000",4/1/2019,100,13121009404
Investa Services of GA Christina Trust as Custodian,"$4,598.06 ",2013,9/1/2015,106,13121000500
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,397.68 ","20,132,015",4/1/2017,106,13121000500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,025.63 ",2013,9/1/2015,106,13121000500
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$5,049.10 ",2012,6/1/2015,106,13121000500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$708.30 ,2013,4/1/2020,106,13121000500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$13,358.65 ","201,220,132,014",6/1/2016,106,13121000500
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$13,945.54 ","201,120,122,013,201,000,000,000",9/1/2018,100,13121005700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,028.57 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121005700
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$10,380.20 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121005700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,335.57 ","20,172,018",4/1/2020,100,13121005700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,927.88 ","20,172,018",4/1/2021,100,13121005700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,465.71 ","20,172,018",9/1/2020,100,13121005700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,680.01 ",2018,3/1/2021,100,13121005700
"INVICTA SERVICES I, LLC  C/O MCCULLOUGH, PAYNE, & HAAN","$1,513.99 ","20,142,015",10/1/2019,101,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,497.91 ","20,152,016",11/1/2019,106,13121000500
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHER TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,606.59 ",2011,9/1/2017,106,13121000500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$17,262.12 ","2,015,201,620,172,010,000,000,000,000",8/1/2022,106,13121000500
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$2,117.03 ",2014,8/1/2017,106,13121000500
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$15,707.14 ","20,162,017,201,820,100,000",10/1/2022,106,13121000500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$4,871.23 ","201,320,142,015",11/1/2016,106,13121000500
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN,"$1,081.66 ","20,132,014",10/1/2016,106,13121000500
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust","$1,776.97 ","20,122,013",4/1/2015,101,13121000500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$41,025.62 ","20,142,015",3/1/2017,319,13121000500
Tassa Enterprises LLC,"$2,055.06 ",2011,11/1/2017,106,13121009404
,"$8,918.06 ","200,920,102,011,201,000,000,000",5/1/2015,101,13121005700
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,634.95 ","20,142,015",3/1/2017,102,13121005700
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,954.47 ","20,142,015,201,620,100,000",9/1/2019,102,13121005700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$19,653.42 ","201,520,192,020",9/1/2022,106,13121009404
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,929.54 ","201,520,192,020",9/1/2022,106,13121000500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,797.75 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008601
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$2,813.82 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,100,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,578.18 ","2,015,201,620,172,010,000,000,000,000",8/1/2022,101,13121008601
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,250.01 ",2014,8/1/2021,101,13121008500
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$9,008.87 ","201,920,202,021",10/1/2022,102,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$3,054.42 ","20,102,011",2/1/2015,102,13121008500
"Investa Services of GA Christiana Trust as Custodian; Investa Services, LLC / Christiana Trust as Custodian","$1,574.37 ","20,132,014",5/1/2015,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$2,755.50 ",2013,10/1/2016,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$3,924.20 ",2013,3/1/2018,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$23,029.44 ","2,009,201,020,112,010",6/1/2015,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,495.78 ",2014,8/1/2021,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$25,386.90 ","2,009,201,020,112,010",8/1/2016,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,888.16 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,591.07 ",2015,9/1/2017,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$26,768.13 ","201,120,122,013,201,000,000,000",2/1/2019,101,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$4,329.47 ",2011,11/1/2016,101,13121006700
"Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$7,494.79 ","201,120,122,013",3/1/2015,102,13121008500
"Elite Capital Investments , LLC.","$10,342.10 ","2,012,201,320,142,010,000,000,000,000",11/1/2019,100,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,948.19 ","201,120,122,013,201,000,000,000",2/1/2019,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,749.16 ","2,015,201,620,172,010",9/1/2019,100,13121008500
"GEORGIA TAX PAYMENTS, LLC","$4,342.83 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,100,13121008500
"GEORGIA TAX PAYMENTS, LLC","$2,015.01 ","201,420,152,016",10/1/2017,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTINA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTINA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN","$2,552.76 ","201,320,142,015",8/1/2016,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$2,454.63 ","20,142,015",8/1/2017,101,13121008500
"GEORGIA TAX PAYMENTS, LLC","$4,559.92 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,100,13121008500
InVesta Services LLC Christina Trust as Custodian; InVesta Services of GA Christina Trust as Custodian,"$6,589.36 ","2,010,201,220,132,010",5/1/2016,101,13121006300
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$13,144.49 ","201,620,172,018,201,000,000,000",10/1/2022,101,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,811.24 ",2011,2/1/2015,102,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,707.17 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,078.47 ","201,120,122,013,201,000,000,000",3/1/2019,100,13121008500
Investa Services as Custodian for Christiana Trust,"$11,187.36 ","200,720,082,009,201,000,000,000",2/1/2015,101,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,933.93 ",2013,10/1/2016,100,13121008500
INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN,"$3,498.62 ","200,720,082,009,201,000,000,000",5/1/2015,101,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,801.64 ",2014,11/1/2019,101,13121006300
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$1,996.31 ","2,009,201,020,112,010",4/1/2016,100,13121008500
"DINKU PROPERTY DEVELOPMENT, LLC","$2,564.63 ",2016,10/1/2018,300,13121008500
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$14,470.80 ","2,009,201,020,112,010,000,000,000,000",4/1/2016,300,13121008500
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$1,996.31 ","2,009,201,020,112,010",4/1/2016,100,13121008500
LEGAL LAND INVESTMENT SERVICES CORP,"$9,330.46 ","201,420,152,016,201,000,000,000",2/1/2022,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,545.94 ","201,120,122,013,201,000,000,000",12/1/2018,300,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,623.67 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,945.39 ","201,320,142,015,201,000,000,000",9/1/2019,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,295.12 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC",$864.39 ,"20,112,012",8/1/2015,700,13121008500
"GEORGIA TAX PAYMENTS, LLC","$4,454.37 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,715.10 ","201,120,122,013,201,000,000,000",3/1/2019,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,455.33 ","201,120,122,013,201,000,000,000",12/1/2018,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,202.45 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121008500
,"$19,321.94 ","2,010,201,120,122,010,000,000,000,000",8/1/2017,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$17,456.72 ","2,009,201,020,112,010",6/1/2015,102,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$19,227.44 ","2,009,201,020,112,010",8/1/2016,102,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,743.05 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121006300
"Elite Capital Investments Group, LLC.","$20,712.22 ","2,012,201,320,142,010,000,000,000,000",11/1/2020,100,13121008500
"Elite Capital Investments Group, LLC.","$21,345.79 ","2,012,201,320,142,010,000,000,000,000",3/1/2021,100,13121008500
"Elite Capital Investments Group, LLC.","$19,949.52 ","2,012,201,320,142,010,000,000,000,000",8/1/2020,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,906.33 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,121.60 ","20,142,015",3/1/2017,101,13121008500
"Investa Services as as custodian for Granite Tax, LLC;InVesta Services of GA as custodian for Granite Tax, LLC","$1,020.03 ",2012,4/1/2015,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,610.63 ","201,120,122,013,201,000,000,000",12/1/2018,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$2,002.45 ","20,102,011",2/1/2015,100,13121008500
"GEORGIA TAX PAYMENTS, LLC","$5,044.33 ","201,120,122,013,201,000,000,000",10/1/2017,100,13121008500
"InVesta Services LLC Christina Trust as Custodian, InVesta Services of GA Christina Trust as Custodian","$4,821.99 ","2,011,201,220,132,010",6/1/2016,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$38,521.50 ","201,620,172,018,201,000,000,000",9/1/2022,300,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$17,586.84 ","20,082,009,201,020,100,000",6/1/2015,100,13121008500
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,861.04 ",2013,3/1/2018,102,13121008500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$530.39 ,2018,12/1/2021,106,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,366.21 ",2018,3/1/2021,100,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$7,649.12 ","201,420,152,016",3/1/2018,102,13121008601
"InVesta Services, LLC Servicer for Christina Trst. Custodian for GSRAN-Z, InVesta Services LLC Christina Trust as Custodian, InVesta Services of GA Christina Trust as Custodian","$6,826.00 ","2,012,201,320,142,010",6/1/2016,102,13121008601
"Elite Capital Investments, LLC.","$3,886.79 ","201,220,132,014,201,000,000,000",12/1/2019,100,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,737.96 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121008601
"Investa Services as as custodian for Granite Tax, LLC;InVesta Services of GA as custodian for  Granite Tax, LLC;InVesta Services of GA as custodian for Granite Tax, LLC","$1,440.48 ",2012,3/1/2015,101,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,032.16 ","201,320,142,015,201,000,000,000",10/1/2020,101,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,285.25 ","201,320,142,015,201,000,000,000",2/1/2021,101,13121008601
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$824.57 ,2018,12/1/2021,106,13121008601
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$19,363.28 ","20,082,009,201,020,100,000",8/1/2016,100,13121008500
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$8,112.29 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,410.95 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121006300
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$2,106.13 ",2011,2/1/2018,101,13121008500
,"$8,145.65 ","20,112,013,201,420,100,000",8/1/2017,105,13121006300
